q160;pays;coexistence_pays;q_objectives_;q_number_themes_;bioag_surv_monitoring_comb;q_related_registration_;q_analysis_techniques_biotest_recodé;q_analysis_techniques_biomolecular_recodé;q_analysis_techniques_biochemical_recodé;nb_analysis_techniques;q_official_formalised_sampling_;q_analyzes_and_interprets_the_data_Officials ;q_analyzes_and_interprets_the_data_Academics;q_analyzes_and_interprets_the_data_Companies;q_analyzes_and_interprets_the_data_Advisers;q_analyzes_and_interprets_the_data_Distributors;q_analyzes_and_interprets_the_data_other;participation_financement_monitoring_nouvelle_version;profil_repondant;q_sampling_locations_randomly;q_sampling_locations_selection_pressure;q_sampling_locations_loss_efficacy;q_sampling_locations_other;q_moyens_collecte_data;q_frequence_publications_res;type_monitoring_par_repondant;coexistence_chiffre;q_nb_participant_choice;q_nb_participant_analysis
29X5-CKZJ;SWITZERLAND;public_private_academic;both;;10;no;1;0;0;1;yes;1;0;0;0;0;0;public;Academic;0;0;1;0;paper_NA;yearly;Public;3;3;1
2AAN-ZDEJ;MALAYSIA;NA_NA_academic;both;2;10;yes;1;1;1;3;no;0;1;0;0;0;0;Public+Private+Academic;Academic;1;0;1;0;paper_NA;less frequently;Academic;1;2;1
2AXV-NQWW;LUXEMBOURG;public_NA_academic;both;0;NANANA;do not know;0;0;1;1;do not know;1;1;0;0;0;0;public;Academic;0;0;0;0;paper_NA;during cropping season;Public;2;2;2
2AXV-NQWW;LUXEMBOURG;public_NA_academic;both;;NANANA;do not know;0;0;1;1;do not know;1;1;0;0;0;0;;Academic;0;0;0;0;paper_NA;during cropping season;Academic;2;2;2
2ESK-Y9JT;CZECH REPUBLIC;public_private_academic;both;15;111;yes;1;1;1;3;no;1;1;0;0;0;0;Public+Private+Academic;Academic;0;0;1;0;paper_electronic;during cropping season;Public;3;3;2
2ESK-Y9JT;CZECH REPUBLIC;public_private_academic;both;200;NANANA;yes;1;1;1;3;no;0;0;0;1;0;0;public;Academic;0;1;1;0;paper_electronic;during cropping season;Private;3;2;1
2ESK-Y9JT;CZECH REPUBLIC;public_private_academic;both;250;NANANA;yes;1;1;1;3;no;1;1;0;0;0;0;public;Academic;0;1;1;0;paper_electronic;during cropping season;Academic;3;3;2
2RDE-LQLY;UNITED KINGDOM;public_private_academic;both;12;10;no;1;1;0;2;no;0;1;0;0;0;0;Public+Private;Other;0;0;0;1;paper_NA;NA;Public;3;3;1
2U5P-869M;FRANCE;public_private_academic;both;3;10;do not know;0;1;0;1;yes;0;1;0;1;0;0;Private;Other;0;0;1;0;paper_NA;less frequently;Academic;3;2;2
2U5P-869M;FRANCE;public_private_academic;both;12;10;yes;1;1;0;2;no;1;1;1;0;0;0;Private;Other;0;0;1;0;paper_NA;less frequently;Private;3;3;3
2U5P-869M;FRANCE;public_private_academic;emergence;12;10;yes;1;1;0;2;no;1;1;1;1;0;0;;Other;0;0;1;0;paper_NA;less frequently;Public;3;4;4
2VTM-JN24;IRELAND;public_private_academic;emergence;;NANANA;yes;0;0;0;0;do not know;0;0;0;0;0;0;;Official;0;0;0;0;NA_NA;yearly;Private;3;1;
2VTM-JN24;IRELAND;public_private_academic;emergence;2;100;yes;0;1;0;1;yes;1;1;0;0;0;0;Public+Private;Official;0;1;1;0;paper_electronic;yearly;Public;3;3;2
2VTM-JN24;IRELAND;public_private_academic;both;;NANANA;yes;0;0;0;0;do not know;0;0;0;0;0;0;Public+Private;Official;0;0;0;0;NA_NA;yearly;Academic;3;2;
3G3J-5M6P;FRANCE;public_private_academic;both;;NANANA;yes;1;1;1;3;no;1;0;1;0;0;0;;Official;1;0;0;0;NA_NA;other;Private;3;2;2
3G3J-5M6P;FRANCE;public_private_academic;both;20;111;yes;1;1;0;2;yes;1;1;0;0;0;0;public;Official;0;1;0;0;paper_NA;yearly;Public;3;2;2
3G3J-5M6P;FRANCE;public_private_academic;both;10;NANANA;yes;1;1;0;2;no;1;1;0;0;0;0;;Official;0;0;0;1;paper_electronic;less frequently;Academic;3;1;2
3GWJ-2QC5;CROATIA;NA_private_academic;emergence;2;110;no;0;0;0;0;do not know;0;0;1;0;0;0;;Academic;0;0;0;0;NA_NA;not published;Private;2;1;1
3QZN-YP46;SWITZERLAND;public_private_academic;both;3;1;yes;1;0;0;1;yes;1;0;0;0;0;0;Public+Private+Academic;Academic;1;0;1;1;paper_electronic;during cropping season;Public;3;3;1
4J4M-F9T6;CANADA;public_private_academic;both;0;1;yes;1;0;0;1;do not know;0;0;0;0;0;0;public;Academic;0;1;1;0;NA_NA;less frequently;Academic;3;;
59DP-AV76;BRAZIL;public_private_academic;frequency of existing resistances;10;1;no;1;1;1;3;no;0;1;0;0;0;0;Public+Private;Academic;0;0;1;0;paper_NA;less frequently;Academic;3;1;1
59DP-AV76;BRAZIL;public_private_academic;frequency of existing resistances;3;1;no;1;1;1;3;do not know;0;1;1;0;0;0;Public+Private;Academic;0;0;1;0;paper_NA;yearly;Private;3;1;2
5A2L-CT2M;USA;public_private_academic;both;;100;do not know;1;1;0;2;no;0;1;0;0;0;0;Private;Academic;1;1;1;0;paper_electronic;other;Academic;3;1;1
5UGD-S8QF;ISRAEL;NA_NA_academic;frequency of existing resistances;16;111;yes;1;0;0;1;no;0;1;0;0;0;0;Public+Private;Academic;0;1;1;0;paper_NA;less frequently;Academic;1;1;1
69VM-PT8U;UNITED KINGDOM;public_private_academic;both;66;1;yes;1;1;0;2;do not know;0;1;0;0;0;0;Public+Private;Academic;0;0;0;0;paper_NA;during cropping season;Private;3;3;1
69VM-PT8U;UNITED KINGDOM;public_private_academic;both;;NANANA;do not know;0;0;0;0;do not know;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Academic;3;;
6GPV-WYGK;ITALY;public_private_academic;both;;NANANA;do not know;1;1;1;3;no;0;1;0;0;0;0;;Academic;0;1;1;0;paper_NA;yearly;Public;3;2;1
6GPV-WYGK;ITALY;public_private_academic;both;;1;do not know;1;1;1;3;no;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;NA_electronic;yearly;Academic;3;1;1
6GPV-WYGK;ITALY;public_private_academic;frequency of existing resistances;;NANANA;do not know;1;1;1;3;no;0;1;1;0;0;0;;Academic;0;1;1;0;paper_electronic;NA;Private;3;2;2
6TNB-HZLL;COLOMBIA;NA_private_NA;frequency of existing resistances;5;100;no;0;1;0;1;no;0;0;1;0;0;0;;Other;0;1;1;0;NA_electronic;not published;Private;1;1;1
7868-VS3L;USA;public_private_academic;both;11;100;no;1;0;0;1;no;0;1;0;0;0;0;Academic;Academic;1;0;0;0;paper_NA;less frequently;Academic;3;1;1
79LN-7ECF;UNITED KINGDOM;public_private_academic;frequency of existing resistances;1;100;yes;0;1;1;2;yes;0;1;0;0;0;0;Private;Academic;0;0;0;0;NA_electronic;less frequently;Public;3;2;1
79LN-7ECF;UNITED KINGDOM;public_private_academic;both;;100;do not know;0;1;1;2;yes;0;1;0;0;0;0;;Academic;0;0;1;0;NA_electronic;less frequently;Academic;3;2;1
7GRR-SBY4;USA;public_private_academic;both;1;100;do not know;1;1;0;2;no;0;1;0;0;0;0;Private;Academic;1;1;1;0;paper_NA;less frequently;Academic;3;1;1
7JKJ-3UZS;INDIA;NA_private_academic;emergence;;NANANA;do not know;1;0;0;1;do not know;0;1;0;0;0;0;Private;Academic;1;0;0;0;paper_electronic;during cropping season;Private;2;;1
7JKJ-3UZS;INDIA;NA_private_academic;emergence;;NANANA;yes;1;0;0;1;yes;0;1;1;0;0;0;Private;Academic;1;0;0;0;paper_electronic;during cropping season;Academic;2;2;2
7RXY-ZMXZ;ITALY;public_private_academic;both;4;1;no;1;1;0;2;no;0;1;0;0;0;0;;Official;0;1;1;1;paper_electronic;NA;Public;3;2;1
7TH3-DZYX;BRAZIL;public_private_academic;emergence;7;100;no;1;1;0;2;yes;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;paper_NA;less frequently;Academic;3;;1
7TH3-DZYX;BRAZIL;public_private_academic;both;3;100;no;1;1;0;2;yes;0;0;1;0;0;0;Public+Private;Academic;1;0;1;0;paper_NA;less frequently;Private;3;1;1
7Y7E-9J8H;FRANCE;public_private_academic;both;30;100;yes;1;1;0;2;yes;0;0;1;0;1;0;;Academic;1;1;0;0;paper_NA;not published;Private;3;1;2
7Y7E-9J8H;FRANCE;public_private_academic;emergence;20;111;yes;1;1;0;2;yes;1;0;0;0;0;0;public;Academic;0;1;0;0;paper_NA;yearly;Public;3;2;1
7Y7E-9J8H;FRANCE;public_private_academic;both;4;100;yes;1;1;0;2;yes;0;1;0;0;0;0;;Academic;0;1;0;1;paper_electronic;less frequently;Academic;3;1;1
85RL-N8U6;GREECE;public_private_academic;emergence;5;1;do not know;1;1;0;2;no;0;1;0;0;0;0;Private;Academic;0;1;1;0;paper_NA;less frequently;Private;3;2;1
85RL-N8U6;GREECE;public_private_academic;both;2;1;no;1;1;1;3;no;0;1;0;0;0;0;Public+Academic;Academic;0;1;0;0;paper_NA;NA;Public;3;2;1
85RL-N8U6;GREECE;public_private_academic;both;6;1;no;1;1;1;3;no;0;1;0;0;0;0;Academic;Academic;1;1;1;0;paper_NA;NA;Academic;3;1;1
8RVJ-WRB7;GERMANY;public_private_academic;both;;111;yes;1;1;0;2;yes;0;1;0;0;0;0;public;Official;1;1;1;1;paper_electronic;yearly;Public;3;3;1
8RXK-ETZV;ITALY;public_private_academic;frequency of existing resistances;;1;do not know;1;1;1;3;no;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;NA_electronic;during cropping season;Academic;3;3;1
8RXK-ETZV;ITALY;public_private_academic;frequency of existing resistances;;1;do not know;0;0;0;0;do not know;0;1;1;0;0;0;Private;Academic;0;1;1;0;paper_electronic;during cropping season;Private;3;2;2
8RXK-ETZV;ITALY;public_private_academic;both;;1;do not know;1;1;1;3;no;1;1;0;0;0;0;;Academic;0;1;1;0;paper_electronic;yearly;Public;3;2;2
8VKF-XK2A;FRANCE;public_private_academic;both;20;101;yes;1;1;0;2;yes;1;0;0;1;0;0;public;Other;1;0;1;0;paper_NA;yearly;Public;3;1;2
8VKF-XK2A;FRANCE;public_private_academic;emergence;;101;yes;1;1;0;2;yes;0;0;0;0;0;0;;Other;0;0;1;0;paper_NA;not published;Private;3;2;
93NN-6BTB;UNITED KINGDOM;public_private_academic;both;;111;yes;1;1;1;3;do not know;0;1;0;0;0;0;Public+Private;Company;0;1;1;0;paper_electronic;yearly;Public;3;3;1
93NN-6BTB;UNITED KINGDOM;public_private_academic;both;4;10;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;0;1;1;0;paper_NA;not published;Private;3;1;1
93NN-6BTB;UNITED KINGDOM;public_private_academic;both;;10;yes;1;1;1;3;do not know;0;1;0;0;0;0;;Company;0;0;0;0;paper_electronic;NA;Academic;3;3;1
9748-QCWC;GREECE;public_private_academic;both;;NANANA;yes;1;1;0;2;yes;0;0;0;0;0;0;Public+Private;Academic;1;1;1;0;paper_electronic;yearly;Public;3;2;
98EV-2YAX;USA;public_private_academic;;;NANANA;;1;1;1;3;no;0;1;0;0;0;0;Public+Private;Academic;1;1;1;0;paper_electronic;during cropping season;Academic;3;;1
98EV-2YAX;USA;public_private_academic;both;;NANANA;do not know;1;1;1;3;no;0;1;1;0;0;0;Private;Academic;1;1;1;0;paper_electronic;NA;Private;3;2;2
98EV-2YAX;USA;public_private_academic;both;;NANANA;no;1;1;1;3;no;0;1;1;1;1;0;;Academic;1;1;1;0;paper_electronic;less frequently;Public;3;3;4
9DRD-QH77;GREECE;public_private_academic;both;4;1;no;1;1;1;3;no;0;1;0;0;0;0;public;Academic;1;1;1;0;paper_NA;less frequently;Academic;3;2;1
9DRD-QH77;GREECE;public_private_academic;both;1;1;no;1;1;1;3;no;0;1;0;0;0;0;public;Academic;1;1;0;0;paper_NA;yearly;Public;3;2;1
9DRD-QH77;GREECE;public_private_academic;both;6;1;no;1;1;1;3;no;0;1;1;0;0;0;Private;Academic;1;1;1;0;paper_NA;less frequently;Private;3;2;2
9L5K-CXJR;BELGIUM;public_private_academic;do not know;;NANANA;do not know;1;1;0;2;do not know;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;yearly;Private;3;;
9L5K-CXJR;BELGIUM;public_private_academic;frequency of existing resistances;4;100;no;0;1;0;1;yes;0;1;0;0;0;0;public;Academic;1;0;0;0;NA_electronic;during cropping season;Academic;3;1;1
9T3R-96WW;TUNISIA;NA_private_academic;both;1;10;yes;1;1;0;2;do not know;0;1;0;0;0;0;;Academic;0;1;1;0;NA_NA;NA;Private;2;2;1
9T3R-96WW;TUNISIA;NA_private_academic;both;1;10;yes;0;0;0;0;;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Academic;2;3;
9UW9-MNDU;SWITZERLAND;public_private_academic;both;3;10;yes;1;0;0;1;yes;1;0;0;0;0;0;public;Academic;0;0;1;0;paper_NA;yearly;Public;3;1;1
9ZU9-XK5U;ITALY;public_private_academic;both;40;100;no;1;1;0;2;no;0;1;1;0;0;0;Private;Academic;0;1;1;0;paper_NA;less frequently;Private;3;2;2
9ZU9-XK5U;ITALY;public_private_academic;both;;100;no;1;1;0;2;yes;0;1;1;0;0;0;Private;Academic;0;1;0;0;paper_NA;yearly;Academic;3;2;2
A4Z6-UKLC;SLOVENIA;NA_NA_academic;both;4;NANANA;no;1;1;1;3;yes;0;1;1;1;1;0;Public+Academic;Academic;0;1;1;0;paper_electronic;less frequently;Academic;1;2;4
AXDM-MSNW;KOREA, REPUBLIC OF;public_private_academic;both;1;10;yes;1;0;0;1;yes;0;1;0;0;0;0;;Academic;1;0;0;0;paper_NA;less frequently;Academic;3;1;1
AXDM-MSNW;KOREA, REPUBLIC OF;public_private_academic;both;4;111;yes;1;0;0;1;yes;1;1;0;0;0;0;public;Academic;1;0;0;0;paper_NA;less frequently;Public;3;2;2
AXDM-MSNW;KOREA, REPUBLIC OF;public_private_academic;frequency of existing resistances;1;10;do not know;1;1;0;2;yes;0;1;1;0;0;0;Private;Academic;1;1;1;0;paper_electronic;not published;Private;3;2;2
B3U8-VAAC;CHILE;NA_private_academic;both;5;1;no;1;1;1;3;yes;0;1;0;1;0;0;Public+Private;Academic;0;1;1;0;paper_NA;yearly;Private;2;3;2
B3U8-VAAC;CHILE;NA_private_academic;both;6;1;no;1;1;1;3;no;0;1;0;1;0;0;Public+Private;Academic;0;1;1;0;paper_NA;yearly;Academic;2;2;2
B95U-3NTK;DENMARK;public_private_academic;both;10;111;no;1;1;0;2;yes;0;0;0;0;0;0;Public+Private+Academic;Academic;1;0;1;1;paper_electronic;yearly;Public;3;3;
BNUH-B874;GERMANY;public_private_academic;both;5;10;no;1;1;1;3;yes;0;1;1;0;0;0;Private;Company;1;0;0;1;paper_electronic;less frequently;Academic;3;2;2
BNUH-B874;GERMANY;public_private_academic;both;50;10;no;1;1;1;3;yes;0;0;1;0;0;0;Private;Company;0;0;1;1;paper_electronic;yearly;Private;3;1;1
BXVP-C5YN;UNITED KINGDOM;public_private_academic;both;20;100;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;0;1;0;0;NA_electronic;yearly;Private;3;2;1
BXVP-C5YN;UNITED KINGDOM;public_private_academic;both;5;100;yes;1;1;1;3;do not know;0;1;0;0;0;0;;Company;0;0;0;0;NA_NA;less frequently;Academic;3;3;1
C9FE-TZKM;AUSTRALIA;NA_private_academic;both;3;100;no;1;1;0;2;yes;0;1;0;0;0;0;Private;Official;0;1;1;1;paper_electronic;yearly;Academic;2;2;1
CFGL-6HHV;GERMANY;public_private_academic;frequency of existing resistances;6;101;no;1;0;0;1;yes;0;1;0;0;0;0;public;Official;0;1;1;0;paper_electronic;yearly;Public;3;3;1
CKBM-5XEE;BELGIUM;public_private_academic;frequency of existing resistances;2;10;no;0;0;0;0;;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Public;3;1;
CQ2S-5GTX;JAPAN;public_private_academic;emergence;;10;do not know;1;1;1;3;no;0;1;0;0;0;0;;Academic;0;0;1;0;paper_NA;less frequently;Private;3;3;1
CVN9-NNVR;DENMARK;public_private_academic;both;;NANANA;no;1;1;0;2;no;0;1;0;0;0;0;Public+Private;Academic;1;0;1;0;NA_electronic;yearly;Academic;3;2;1
CVN9-NNVR;DENMARK;public_private_academic;both;;NANANA;do not know;1;0;0;1;no;0;0;1;0;0;0;;Academic;0;0;0;0;NA_NA;yearly;Private;3;;1
D5UH-TV7S;ITALY;public_private_academic;frequency of existing resistances;20;10;no;1;1;1;3;do not know;0;1;0;0;0;0;Private;Company;1;1;1;0;paper_NA;during cropping season;Academic;3;2;1
D5UH-TV7S;ITALY;public_private_academic;both;;10;no;1;1;1;3;yes;1;1;1;0;0;0;Academic+Private;Company;1;1;1;0;paper_NA;yearly;Public;3;2;3
D5UH-TV7S;ITALY;public_private_academic;both;6;10;do not know;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;0;1;1;0;paper_NA;not published;Private;3;1;1
DDXJ-2YFH;GERMANY;public_private_academic;both;2;101;no;1;1;0;2;yes;0;1;0;0;0;0;public;Academic;1;1;1;0;paper_NA;during cropping season;Public;3;1;1
DGQT-W9Z3;GERMANY;public_private_academic;both;;10;yes;1;1;1;3;do not know;1;1;1;0;0;0;;Company;0;0;0;1;NA_NA;NA;Academic;3;;3
DGQT-W9Z3;GERMANY;public_private_academic;both;;10;yes;1;1;1;3;no;1;1;1;1;0;0;Academic+Private;Company;1;1;0;0;paper_electronic;during cropping season;Public;3;3;4
DGQT-W9Z3;GERMANY;public_private_academic;both;15;10;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;0;1;1;0;paper_NA;not published;Private;3;3;1
DKQJ-6S2B;USA;public_private_academic;both;5;100;do not know;0;1;1;2;no;0;1;0;0;0;0;;Academic;1;0;0;0;NA_NA;NA;Academic;3;1;1
DU37-FCS2;AUSTRALIA;NA_private_academic;both;2;100;do not know;0;0;0;0;do not know;0;1;0;0;0;0;Public+Private;Academic;0;0;0;0;NA_NA;NA;Academic;2;2;1
E5FJ-7LH6;LATVIA;NA_private_academic;emergence;4;10;do not know;1;1;0;2;no;0;1;0;0;0;0;public;Academic;0;0;1;0;paper_NA;less frequently;Academic;2;1;1
E5FJ-7LH6;LATVIA;NA_private_academic;do not know;;NANANA;do not know;0;0;0;0;do not know;0;0;0;0;0;0;;Academic;0;0;0;0;NA_NA;NA;Private;2;;
ECQ8-AUGG;JAPAN;public_private_academic;both;4;1;yes;1;1;0;2;do not know;0;1;0;0;0;0;public;Academic;0;0;0;0;NA_NA;NA;Academic;3;3;1
EU5T-ZQRL;SPAIN;public_private_academic;both;15;10;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;0;1;1;0;paper_NA;not published;Private;3;1;1
EU5T-ZQRL;SPAIN;public_private_academic;both;;10;do not know;1;1;1;3;no;1;1;0;0;0;0;Public+Private+Academic;Company;0;1;1;0;NA_NA;less frequently;Public;3;2;2
EU5T-ZQRL;SPAIN;public_private_academic;both;;10;do not know;0;0;0;0;do not know;0;1;1;0;0;0;;Company;0;0;0;0;paper_NA;NA;Academic;3;;2
F8DU-VDMC;FRANCE;public_private_academic;;;NANANA;;0;0;0;0;;0;0;0;0;0;0;;Company;0;0;0;0;NA_NA;NA;Academic;3;;
F8DU-VDMC;FRANCE;public_private_academic;;;NANANA;;0;0;0;0;;0;0;0;0;0;0;;Company;0;0;0;0;NA_NA;NA;Public;3;;
F8DU-VDMC;FRANCE;public_private_academic;both;50;NANANA;yes;1;1;1;3;yes;1;1;1;0;1;0;Private;Company;1;1;1;1;paper_electronic;yearly;Private;3;3;4
F9C7-P66F;CHINA;public_NA_academic;both;60;10;yes;1;1;0;2;do not know;0;1;0;0;0;0;Public+Academic;Academic;1;1;1;0;NA_electronic;less frequently;Public;2;2;1
F9C7-P66F;CHINA;public_NA_academic;both;;NANANA;yes;1;1;0;2;no;0;1;0;0;0;0;public;Academic;1;1;1;0;NA_electronic;less frequently;Academic;2;2;1
FJPW-BHH8;SWEDEN;public_NA_research;both;16;111;no;1;1;0;2;yes;1;0;0;0;0;0;Public+Private;Official;1;1;1;0;paper_NA;yearly;Public;1;3;1
FLEH-ZVKT;CHINA;public_NA_academic;frequency of existing resistances;3;NANANA;do not know;1;1;0;2;no;0;1;0;0;0;0;;Academic;1;0;0;0;paper_NA;yearly;Academic;2;2;1
FP9P-84JC;USA;public_private_academic;emergence;0;100;no;1;1;0;2;no;0;1;1;0;0;0;Public+Private;Academic;0;0;1;0;NA_NA;not published;Private;3;;2
FP9P-84JC;USA;public_private_academic;both;;NANANA;no;1;1;0;2;no;0;1;1;0;0;0;Public+Private+Academic;Academic;1;0;1;0;NA_NA;less frequently;Academic;3;1;2
FRQ2-SVKD;USA;public_private_academic;both;20;NANANA;no;0;0;0;0;no;0;1;0;0;0;0;Public+Private;Company;1;0;1;0;NA_electronic;yearly;Academic;3;2;1
FRQ2-SVKD;USA;public_private_academic;frequency of existing resistances;10;NANANA;no;1;1;1;3;no;0;1;1;0;0;0;;Company;1;0;1;0;NA_electronic;other;Private;3;2;2
FXNH-2FVM;FRANCE;public_private_academic;both;;10;yes;1;1;1;3;no;1;1;1;0;0;1;Public+Private;Company;1;1;1;1;NA_NA;NA;Public;3;3;4
FXNH-2FVM;FRANCE;public_private_academic;both;15;10;yes;1;1;0;2;yes;0;0;1;0;0;0;Private;Company;0;1;1;0;paper_NA;not published;Private;3;1;1
FXNH-2FVM;FRANCE;public_private_academic;both;;10;yes;1;1;1;3;do not know;0;1;1;0;0;1;;Company;0;0;0;1;NA_NA;NA;Academic;3;;3
G3NL-PZKS;CANADA;public_private_academic;both;50;100;yes;1;1;0;2;yes;0;0;0;1;0;0;Private;Official;1;1;1;0;NA_NA;not published;Private;3;3;1
G3NL-PZKS;CANADA;public_private_academic;emergence;10;100;yes;1;1;0;2;yes;0;1;0;0;0;0;Academic;Official;1;1;1;0;NA_electronic;NA;Academic;3;1;1
GAPB-YPCZ;CZECH REPUBLIC;public_private_academic;both;6;1;yes;1;1;1;3;yes;0;1;0;0;0;0;;Academic;1;0;0;0;paper_electronic;less frequently;Academic;3;1;1
GAPB-YPCZ;CZECH REPUBLIC;public_private_academic;both;6;1;yes;1;0;0;1;yes;1;1;0;0;0;0;public;Academic;1;0;0;0;NA_electronic;during cropping season;Public;3;2;2
GHR4-U2E5;URUGUAY;NA_NA_academic;both;3;10;no;1;1;0;2;yes;0;1;0;1;0;0;Academic;Academic;0;1;1;0;paper_NA;yearly;Academic;1;1;2
GP77-U5XQ;GERMANY;public_private_academic;both;8;100;yes;1;1;0;2;no;0;1;0;0;0;0;;Academic;1;0;0;0;paper_NA;NA;Public;3;3;1
GTFV-DQKQ;ITALY;public_private_academic;both;14;100;yes;1;1;0;2;yes;0;1;0;0;0;0;Public+Private+Academic;Academic;1;1;1;1;paper_NA;yearly;Public;3;3;1
